DIA,MES,ANO,HORA,ES10,ES53,ESSUMA,FECHAH,FECHA,TIPO
1,11,2018,1,304,387,691,2018-11-01 00:00:00,2018-01-11 00:00:00,FESTIVO
1,11,2018,2,297,383,680,2018-11-01 01:00:00,2018-01-11 00:00:00,FESTIVO
1,11,2018,3,165,340,505,2018-11-01 02:00:00,2018-01-11 00:00:00,FESTIVO
1,11,2018,4,145,269,414,2018-11-01 03:00:00,2018-01-11 00:00:00,FESTIVO
1,11,2018,5,144,297,441,2018-11-01 04:00:00,2018-01-11 00:00:00,FESTIVO
1,11,2018,6,164,235,399,2018-11-01 05:00:00,2018-01-11 00:00:00,FESTIVO
1,11,2018,7,189,291,480,2018-11-01 06:00:00,2018-01-11 00:00:00,FESTIVO
1,11,2018,8,258,292,550,2018-11-01 07:00:00,2018-01-11 00:00:00,FESTIVO
1,11,2018,9,328,374,702,2018-11-01 08:00:00,2018-01-11 00:00:00,FESTIVO
1,11,2018,10,417,494,911,2018-11-01 09:00:00,2018-01-11 00:00:00,FESTIVO
1,11,2018,11,539,551,1090,2018-11-01 10:00:00,2018-01-11 00:00:00,FESTIVO
1,11,2018,12,614,613,1227,2018-11-01 11:00:00,2018-01-11 00:00:00,FESTIVO
1,11,2018,13,614,708,1322,2018-11-01 12:00:00,2018-01-11 00:00:00,FESTIVO
1,11,2018,14,579,631,1210,2018-11-01 13:00:00,2018-01-11 00:00:00,FESTIVO
1,11,2018,15,511,709,1220,2018-11-01 14:00:00,2018-01-11 00:00:00,FESTIVO
1,11,2018,16,437,595,1032,2018-11-01 15:00:00,2018-01-11 00:00:00,FESTIVO
1,11,2018,17,501,615,1116,2018-11-01 16:00:00,2018-01-11 00:00:00,FESTIVO
1,11,2018,18,535,733,1268,2018-11-01 17:00:00,2018-01-11 00:00:00,FESTIVO
1,11,2018,19,602,733,1335,2018-11-01 18:00:00,2018-01-11 00:00:00,FESTIVO
1,11,2018,20,573,685,1258,2018-11-01 19:00:00,2018-01-11 00:00:00,FESTIVO
1,11,2018,21,534,592,1126,2018-11-01 20:00:00,2018-01-11 00:00:00,FESTIVO
1,11,2018,22,500,581,1081,2018-11-01 21:00:00,2018-01-11 00:00:00,FESTIVO
1,11,2018,23,444,499,943,2018-11-01 22:00:00,2018-01-11 00:00:00,FESTIVO
1,11,2018,24,303,408,711,2018-11-01 23:00:00,2018-01-11 00:00:00,FESTIVO
2,11,2018,1,217,273,490,2018-11-02 00:00:00,2018-02-11 00:00:00,LABORABLE
2,11,2018,2,124,239,363,2018-11-02 01:00:00,2018-02-11 00:00:00,LABORABLE
2,11,2018,3,91,183,274,2018-11-02 02:00:00,2018-02-11 00:00:00,LABORABLE
2,11,2018,4,73,146,219,2018-11-02 03:00:00,2018-02-11 00:00:00,LABORABLE
2,11,2018,5,83,141,224,2018-11-02 04:00:00,2018-02-11 00:00:00,LABORABLE
2,11,2018,6,140,183,323,2018-11-02 05:00:00,2018-02-11 00:00:00,LABORABLE
2,11,2018,7,330,330,660,2018-11-02 06:00:00,2018-02-11 00:00:00,LABORABLE
2,11,2018,8,506,537,1043,2018-11-02 07:00:00,2018-02-11 00:00:00,LABORABLE
2,11,2018,9,521,584,1105,2018-11-02 08:00:00,2018-02-11 00:00:00,LABORABLE
2,11,2018,10,529,661,1190,2018-11-02 09:00:00,2018-02-11 00:00:00,LABORABLE
2,11,2018,11,588,651,1239,2018-11-02 10:00:00,2018-02-11 00:00:00,LABORABLE
2,11,2018,12,545,564,1109,2018-11-02 11:00:00,2018-02-11 00:00:00,LABORABLE
2,11,2018,13,635,771,1406,2018-11-02 12:00:00,2018-02-11 00:00:00,LABORABLE
2,11,2018,14,696,742,1438,2018-11-02 13:00:00,2018-02-11 00:00:00,LABORABLE
2,11,2018,15,634,748,1382,2018-11-02 14:00:00,2018-02-11 00:00:00,LABORABLE
2,11,2018,16,587,801,1388,2018-11-02 15:00:00,2018-02-11 00:00:00,LABORABLE
2,11,2018,17,649,803,1452,2018-11-02 16:00:00,2018-02-11 00:00:00,LABORABLE
2,11,2018,18,653,811,1464,2018-11-02 17:00:00,2018-02-11 00:00:00,LABORABLE
2,11,2018,19,666,772,1438,2018-11-02 18:00:00,2018-02-11 00:00:00,LABORABLE
2,11,2018,20,661,787,1448,2018-11-02 19:00:00,2018-02-11 00:00:00,LABORABLE
2,11,2018,21,689,838,1527,2018-11-02 20:00:00,2018-02-11 00:00:00,LABORABLE
2,11,2018,22,541,724,1265,2018-11-02 21:00:00,2018-02-11 00:00:00,LABORABLE
2,11,2018,23,481,587,1068,2018-11-02 22:00:00,2018-02-11 00:00:00,LABORABLE
2,11,2018,24,346,526,872,2018-11-02 23:00:00,2018-02-11 00:00:00,LABORABLE
3,11,2018,1,283,430,713,2018-11-03 00:00:00,2018-03-11 00:00:00,SÁBADO
3,11,2018,2,227,340,567,2018-11-03 01:00:00,2018-03-11 00:00:00,SÁBADO
3,11,2018,3,167,320,487,2018-11-03 02:00:00,2018-03-11 00:00:00,SÁBADO
3,11,2018,4,136,220,356,2018-11-03 03:00:00,2018-03-11 00:00:00,SÁBADO
3,11,2018,5,119,218,337,2018-11-03 04:00:00,2018-03-11 00:00:00,SÁBADO
3,11,2018,6,130,215,345,2018-11-03 05:00:00,2018-03-11 00:00:00,SÁBADO
3,11,2018,7,212,259,471,2018-11-03 06:00:00,2018-03-11 00:00:00,SÁBADO
3,11,2018,8,265,316,581,2018-11-03 07:00:00,2018-03-11 00:00:00,SÁBADO
3,11,2018,9,346,363,709,2018-11-03 08:00:00,2018-03-11 00:00:00,SÁBADO
3,11,2018,10,463,481,944,2018-11-03 09:00:00,2018-03-11 00:00:00,SÁBADO
3,11,2018,11,534,622,1156,2018-11-03 10:00:00,2018-03-11 00:00:00,SÁBADO
3,11,2018,12,638,711,1349,2018-11-03 11:00:00,2018-03-11 00:00:00,SÁBADO
3,11,2018,13,603,816,1419,2018-11-03 12:00:00,2018-03-11 00:00:00,SÁBADO
3,11,2018,14,665,828,1493,2018-11-03 13:00:00,2018-03-11 00:00:00,SÁBADO
3,11,2018,15,629,832,1461,2018-11-03 14:00:00,2018-03-11 00:00:00,SÁBADO
3,11,2018,16,514,672,1186,2018-11-03 15:00:00,2018-03-11 00:00:00,SÁBADO
3,11,2018,17,523,706,1229,2018-11-03 16:00:00,2018-03-11 00:00:00,SÁBADO
3,11,2018,18,615,706,1321,2018-11-03 17:00:00,2018-03-11 00:00:00,SÁBADO
3,11,2018,19,659,798,1457,2018-11-03 18:00:00,2018-03-11 00:00:00,SÁBADO
3,11,2018,20,624,783,1407,2018-11-03 19:00:00,2018-03-11 00:00:00,SÁBADO
3,11,2018,21,576,725,1301,2018-11-03 20:00:00,2018-03-11 00:00:00,SÁBADO
3,11,2018,22,577,696,1273,2018-11-03 21:00:00,2018-03-11 00:00:00,SÁBADO
3,11,2018,23,518,614,1132,2018-11-03 22:00:00,2018-03-11 00:00:00,SÁBADO
3,11,2018,24,401,527,928,2018-11-03 23:00:00,2018-03-11 00:00:00,SÁBADO
4,11,2018,1,340,457,797,2018-11-04 00:00:00,2018-04-11 00:00:00,DOMINGO
4,11,2018,2,315,452,767,2018-11-04 01:00:00,2018-04-11 00:00:00,DOMINGO
4,11,2018,3,247,376,623,2018-11-04 02:00:00,2018-04-11 00:00:00,DOMINGO
4,11,2018,4,171,256,427,2018-11-04 03:00:00,2018-04-11 00:00:00,DOMINGO
4,11,2018,5,179,260,439,2018-11-04 04:00:00,2018-04-11 00:00:00,DOMINGO
4,11,2018,6,147,300,447,2018-11-04 05:00:00,2018-04-11 00:00:00,DOMINGO
4,11,2018,7,189,292,481,2018-11-04 06:00:00,2018-04-11 00:00:00,DOMINGO
4,11,2018,8,168,247,415,2018-11-04 07:00:00,2018-04-11 00:00:00,DOMINGO
4,11,2018,9,217,286,503,2018-11-04 08:00:00,2018-04-11 00:00:00,DOMINGO
4,11,2018,10,325,410,735,2018-11-04 09:00:00,2018-04-11 00:00:00,DOMINGO
4,11,2018,11,449,491,940,2018-11-04 10:00:00,2018-04-11 00:00:00,DOMINGO
4,11,2018,12,485,580,1065,2018-11-04 11:00:00,2018-04-11 00:00:00,DOMINGO
4,11,2018,13,592,650,1242,2018-11-04 12:00:00,2018-04-11 00:00:00,DOMINGO
4,11,2018,14,578,693,1271,2018-11-04 13:00:00,2018-04-11 00:00:00,DOMINGO
4,11,2018,15,572,670,1242,2018-11-04 14:00:00,2018-04-11 00:00:00,DOMINGO
4,11,2018,16,525,647,1172,2018-11-04 15:00:00,2018-04-11 00:00:00,DOMINGO
4,11,2018,17,471,655,1126,2018-11-04 16:00:00,2018-04-11 00:00:00,DOMINGO
4,11,2018,18,566,747,1313,2018-11-04 17:00:00,2018-04-11 00:00:00,DOMINGO
4,11,2018,19,627,719,1346,2018-11-04 18:00:00,2018-04-11 00:00:00,DOMINGO
4,11,2018,20,572,729,1301,2018-11-04 19:00:00,2018-04-11 00:00:00,DOMINGO
4,11,2018,21,480,626,1106,2018-11-04 20:00:00,2018-04-11 00:00:00,DOMINGO
4,11,2018,22,444,546,990,2018-11-04 21:00:00,2018-04-11 00:00:00,DOMINGO
4,11,2018,23,421,439,860,2018-11-04 22:00:00,2018-04-11 00:00:00,DOMINGO
4,11,2018,24,214,352,566,2018-11-04 23:00:00,2018-04-11 00:00:00,DOMINGO
5,11,2018,1,175,289,464,2018-11-05 00:00:00,2018-05-11 00:00:00,LABORABLE
5,11,2018,2,108,199,307,2018-11-05 01:00:00,2018-05-11 00:00:00,LABORABLE
5,11,2018,3,82,153,235,2018-11-05 02:00:00,2018-05-11 00:00:00,LABORABLE
5,11,2018,4,84,110,194,2018-11-05 03:00:00,2018-05-11 00:00:00,LABORABLE
5,11,2018,5,63,100,163,2018-11-05 04:00:00,2018-05-11 00:00:00,LABORABLE
5,11,2018,6,143,164,307,2018-11-05 05:00:00,2018-05-11 00:00:00,LABORABLE
5,11,2018,7,475,424,899,2018-11-05 06:00:00,2018-05-11 00:00:00,LABORABLE
5,11,2018,8,624,706,1330,2018-11-05 07:00:00,2018-05-11 00:00:00,LABORABLE
5,11,2018,9,645,719,1364,2018-11-05 08:00:00,2018-05-11 00:00:00,LABORABLE
5,11,2018,10,646,860,1506,2018-11-05 09:00:00,2018-05-11 00:00:00,LABORABLE
5,11,2018,11,580,675,1255,2018-11-05 10:00:00,2018-05-11 00:00:00,LABORABLE
5,11,2018,12,586,686,1272,2018-11-05 11:00:00,2018-05-11 00:00:00,LABORABLE
5,11,2018,13,599,637,1236,2018-11-05 12:00:00,2018-05-11 00:00:00,LABORABLE
5,11,2018,14,659,785,1444,2018-11-05 13:00:00,2018-05-11 00:00:00,LABORABLE
5,11,2018,15,661,752,1413,2018-11-05 14:00:00,2018-05-11 00:00:00,LABORABLE
5,11,2018,16,674,677,1351,2018-11-05 15:00:00,2018-05-11 00:00:00,LABORABLE
5,11,2018,18,717,0,717,2018-11-05 17:00:00,2018-05-11 00:00:00,LABORABLE
5,11,2018,19,686,0,686,2018-11-05 18:00:00,2018-05-11 00:00:00,LABORABLE
5,11,2018,20,584,0,584,2018-11-05 19:00:00,2018-05-11 00:00:00,LABORABLE
5,11,2018,21,651,0,651,2018-11-05 20:00:00,2018-05-11 00:00:00,LABORABLE
5,11,2018,22,463,623,1086,2018-11-05 21:00:00,2018-05-11 00:00:00,LABORABLE
5,11,2018,23,365,432,797,2018-11-05 22:00:00,2018-05-11 00:00:00,LABORABLE
5,11,2018,24,231,331,562,2018-11-05 23:00:00,2018-05-11 00:00:00,LABORABLE
6,11,2018,1,126,204,330,2018-11-06 00:00:00,2018-06-11 00:00:00,LABORABLE
6,11,2018,2,93,150,243,2018-11-06 01:00:00,2018-06-11 00:00:00,LABORABLE
6,11,2018,3,54,134,188,2018-11-06 02:00:00,2018-06-11 00:00:00,LABORABLE
6,11,2018,4,56,96,152,2018-11-06 03:00:00,2018-06-11 00:00:00,LABORABLE
6,11,2018,5,71,90,161,2018-11-06 04:00:00,2018-06-11 00:00:00,LABORABLE
6,11,2018,6,146,164,310,2018-11-06 05:00:00,2018-06-11 00:00:00,LABORABLE
6,11,2018,7,444,383,827,2018-11-06 06:00:00,2018-06-11 00:00:00,LABORABLE
6,11,2018,8,651,656,1307,2018-11-06 07:00:00,2018-06-11 00:00:00,LABORABLE
6,11,2018,9,719,779,1498,2018-11-06 08:00:00,2018-06-11 00:00:00,LABORABLE
6,11,2018,10,638,775,1413,2018-11-06 09:00:00,2018-06-11 00:00:00,LABORABLE
6,11,2018,11,595,664,1259,2018-11-06 10:00:00,2018-06-11 00:00:00,LABORABLE
6,11,2018,12,607,742,1349,2018-11-06 11:00:00,2018-06-11 00:00:00,LABORABLE
6,11,2018,13,624,748,1372,2018-11-06 12:00:00,2018-06-11 00:00:00,LABORABLE
6,11,2018,14,661,756,1417,2018-11-06 13:00:00,2018-06-11 00:00:00,LABORABLE
6,11,2018,15,673,721,1394,2018-11-06 14:00:00,2018-06-11 00:00:00,LABORABLE
6,11,2018,16,649,698,1347,2018-11-06 15:00:00,2018-06-11 00:00:00,LABORABLE
6,11,2018,17,640,785,1425,2018-11-06 16:00:00,2018-06-11 00:00:00,LABORABLE
6,11,2018,18,725,853,1578,2018-11-06 17:00:00,2018-06-11 00:00:00,LABORABLE
6,11,2018,19,696,783,1479,2018-11-06 18:00:00,2018-06-11 00:00:00,LABORABLE
6,11,2018,20,673,784,1457,2018-11-06 19:00:00,2018-06-11 00:00:00,LABORABLE
6,11,2018,21,618,723,1341,2018-11-06 20:00:00,2018-06-11 00:00:00,LABORABLE
6,11,2018,22,508,607,1115,2018-11-06 21:00:00,2018-06-11 00:00:00,LABORABLE
6,11,2018,23,374,428,802,2018-11-06 22:00:00,2018-06-11 00:00:00,LABORABLE
6,11,2018,24,232,347,579,2018-11-06 23:00:00,2018-06-11 00:00:00,LABORABLE
7,11,2018,1,169,258,427,2018-11-07 00:00:00,2018-07-11 00:00:00,LABORABLE
7,11,2018,2,121,189,310,2018-11-07 01:00:00,2018-07-11 00:00:00,LABORABLE
7,11,2018,3,68,117,185,2018-11-07 02:00:00,2018-07-11 00:00:00,LABORABLE
7,11,2018,4,69,116,185,2018-11-07 03:00:00,2018-07-11 00:00:00,LABORABLE
7,11,2018,5,78,84,162,2018-11-07 04:00:00,2018-07-11 00:00:00,LABORABLE
7,11,2018,6,155,167,322,2018-11-07 05:00:00,2018-07-11 00:00:00,LABORABLE
7,11,2018,7,435,399,834,2018-11-07 06:00:00,2018-07-11 00:00:00,LABORABLE
7,11,2018,8,610,700,1310,2018-11-07 07:00:00,2018-07-11 00:00:00,LABORABLE
7,11,2018,9,696,669,1365,2018-11-07 08:00:00,2018-07-11 00:00:00,LABORABLE
7,11,2018,10,601,732,1333,2018-11-07 09:00:00,2018-07-11 00:00:00,LABORABLE
7,11,2018,11,592,688,1280,2018-11-07 10:00:00,2018-07-11 00:00:00,LABORABLE
7,11,2018,12,563,703,1266,2018-11-07 11:00:00,2018-07-11 00:00:00,LABORABLE
7,11,2018,13,610,690,1300,2018-11-07 12:00:00,2018-07-11 00:00:00,LABORABLE
7,11,2018,14,624,748,1372,2018-11-07 13:00:00,2018-07-11 00:00:00,LABORABLE
7,11,2018,15,458,824,1282,2018-11-07 14:00:00,2018-07-11 00:00:00,LABORABLE
7,11,2018,16,661,702,1363,2018-11-07 15:00:00,2018-07-11 00:00:00,LABORABLE
7,11,2018,17,652,745,1397,2018-11-07 16:00:00,2018-07-11 00:00:00,LABORABLE
7,11,2018,18,667,758,1425,2018-11-07 17:00:00,2018-07-11 00:00:00,LABORABLE
7,11,2018,19,741,783,1524,2018-11-07 18:00:00,2018-07-11 00:00:00,LABORABLE
7,11,2018,20,659,807,1466,2018-11-07 19:00:00,2018-07-11 00:00:00,LABORABLE
7,11,2018,21,657,734,1391,2018-11-07 20:00:00,2018-07-11 00:00:00,LABORABLE
7,11,2018,22,508,566,1074,2018-11-07 21:00:00,2018-07-11 00:00:00,LABORABLE
7,11,2018,23,348,468,816,2018-11-07 22:00:00,2018-07-11 00:00:00,LABORABLE
7,11,2018,24,265,334,599,2018-11-07 23:00:00,2018-07-11 00:00:00,LABORABLE
8,11,2018,1,167,249,416,2018-11-08 00:00:00,2018-08-11 00:00:00,LABORABLE
8,11,2018,2,126,208,334,2018-11-08 01:00:00,2018-08-11 00:00:00,LABORABLE
8,11,2018,3,75,136,211,2018-11-08 02:00:00,2018-08-11 00:00:00,LABORABLE
8,11,2018,4,64,115,179,2018-11-08 03:00:00,2018-08-11 00:00:00,LABORABLE
8,11,2018,5,74,103,177,2018-11-08 04:00:00,2018-08-11 00:00:00,LABORABLE
8,11,2018,6,165,182,347,2018-11-08 05:00:00,2018-08-11 00:00:00,LABORABLE
8,11,2018,7,427,393,820,2018-11-08 06:00:00,2018-08-11 00:00:00,LABORABLE
8,11,2018,8,703,683,1386,2018-11-08 07:00:00,2018-08-11 00:00:00,LABORABLE
8,11,2018,9,697,764,1461,2018-11-08 08:00:00,2018-08-11 00:00:00,LABORABLE
8,11,2018,10,701,706,1407,2018-11-08 09:00:00,2018-08-11 00:00:00,LABORABLE
8,11,2018,11,669,760,1429,2018-11-08 10:00:00,2018-08-11 00:00:00,LABORABLE
8,11,2018,12,623,798,1421,2018-11-08 11:00:00,2018-08-11 00:00:00,LABORABLE
8,11,2018,13,673,801,1474,2018-11-08 12:00:00,2018-08-11 00:00:00,LABORABLE
8,11,2018,14,660,773,1433,2018-11-08 13:00:00,2018-08-11 00:00:00,LABORABLE
8,11,2018,15,699,752,1451,2018-11-08 14:00:00,2018-08-11 00:00:00,LABORABLE
8,11,2018,16,694,704,1398,2018-11-08 15:00:00,2018-08-11 00:00:00,LABORABLE
8,11,2018,17,665,778,1443,2018-11-08 16:00:00,2018-08-11 00:00:00,LABORABLE
8,11,2018,18,689,815,1504,2018-11-08 17:00:00,2018-08-11 00:00:00,LABORABLE
8,11,2018,19,717,805,1522,2018-11-08 18:00:00,2018-08-11 00:00:00,LABORABLE
8,11,2018,20,721,785,1506,2018-11-08 19:00:00,2018-08-11 00:00:00,LABORABLE
8,11,2018,21,681,751,1432,2018-11-08 20:00:00,2018-08-11 00:00:00,LABORABLE
8,11,2018,22,611,709,1320,2018-11-08 21:00:00,2018-08-11 00:00:00,LABORABLE
8,11,2018,23,448,552,1000,2018-11-08 22:00:00,2018-08-11 00:00:00,LABORABLE
8,11,2018,24,305,457,762,2018-11-08 23:00:00,2018-08-11 00:00:00,LABORABLE
9,11,2018,1,254,363,617,2018-11-09 00:00:00,2018-09-11 00:00:00,FESTIVO
9,11,2018,2,163,288,451,2018-11-09 01:00:00,2018-09-11 00:00:00,FESTIVO
9,11,2018,3,136,274,410,2018-11-09 02:00:00,2018-09-11 00:00:00,FESTIVO
9,11,2018,4,94,182,276,2018-11-09 03:00:00,2018-09-11 00:00:00,FESTIVO
9,11,2018,5,97,158,255,2018-11-09 04:00:00,2018-09-11 00:00:00,FESTIVO
9,11,2018,6,138,169,307,2018-11-09 05:00:00,2018-09-11 00:00:00,FESTIVO
9,11,2018,7,262,240,502,2018-11-09 06:00:00,2018-09-11 00:00:00,FESTIVO
9,11,2018,8,350,312,662,2018-11-09 07:00:00,2018-09-11 00:00:00,FESTIVO
9,11,2018,9,410,380,790,2018-11-09 08:00:00,2018-09-11 00:00:00,FESTIVO
9,11,2018,10,434,487,921,2018-11-09 09:00:00,2018-09-11 00:00:00,FESTIVO
9,11,2018,11,448,498,946,2018-11-09 10:00:00,2018-09-11 00:00:00,FESTIVO
9,11,2018,12,565,612,1177,2018-11-09 11:00:00,2018-09-11 00:00:00,FESTIVO
9,11,2018,13,538,653,1191,2018-11-09 12:00:00,2018-09-11 00:00:00,FESTIVO
9,11,2018,14,577,645,1222,2018-11-09 13:00:00,2018-09-11 00:00:00,FESTIVO
9,11,2018,15,504,695,1199,2018-11-09 14:00:00,2018-09-11 00:00:00,FESTIVO
9,11,2018,16,439,563,1002,2018-11-09 15:00:00,2018-09-11 00:00:00,FESTIVO
9,11,2018,17,464,658,1122,2018-11-09 16:00:00,2018-09-11 00:00:00,FESTIVO
9,11,2018,18,572,663,1235,2018-11-09 17:00:00,2018-09-11 00:00:00,FESTIVO
9,11,2018,19,647,726,1373,2018-11-09 18:00:00,2018-09-11 00:00:00,FESTIVO
9,11,2018,20,590,749,1339,2018-11-09 19:00:00,2018-09-11 00:00:00,FESTIVO
9,11,2018,21,526,683,1209,2018-11-09 20:00:00,2018-09-11 00:00:00,FESTIVO
9,11,2018,22,540,704,1244,2018-11-09 21:00:00,2018-09-11 00:00:00,FESTIVO
9,11,2018,23,443,536,979,2018-11-09 22:00:00,2018-09-11 00:00:00,FESTIVO
9,11,2018,24,368,439,807,2018-11-09 23:00:00,2018-09-11 00:00:00,FESTIVO
10,11,2018,1,270,409,679,2018-11-10 00:00:00,2018-10-11 00:00:00,SÁBADO
10,11,2018,2,249,342,591,2018-11-10 01:00:00,2018-10-11 00:00:00,SÁBADO
10,11,2018,3,168,267,435,2018-11-10 02:00:00,2018-10-11 00:00:00,SÁBADO
10,11,2018,4,145,249,394,2018-11-10 03:00:00,2018-10-11 00:00:00,SÁBADO
10,11,2018,5,130,202,332,2018-11-10 04:00:00,2018-10-11 00:00:00,SÁBADO
10,11,2018,6,132,196,328,2018-11-10 05:00:00,2018-10-11 00:00:00,SÁBADO
10,11,2018,7,203,296,499,2018-11-10 06:00:00,2018-10-11 00:00:00,SÁBADO
10,11,2018,8,265,301,566,2018-11-10 07:00:00,2018-10-11 00:00:00,SÁBADO
10,11,2018,9,325,356,681,2018-11-10 08:00:00,2018-10-11 00:00:00,SÁBADO
10,11,2018,10,411,473,884,2018-11-10 09:00:00,2018-10-11 00:00:00,SÁBADO
10,11,2018,11,558,606,1164,2018-11-10 10:00:00,2018-10-11 00:00:00,SÁBADO
10,11,2018,12,560,686,1246,2018-11-10 11:00:00,2018-10-11 00:00:00,SÁBADO
10,11,2018,13,685,776,1461,2018-11-10 12:00:00,2018-10-11 00:00:00,SÁBADO
10,11,2018,14,682,791,1473,2018-11-10 13:00:00,2018-10-11 00:00:00,SÁBADO
10,11,2018,15,630,806,1436,2018-11-10 14:00:00,2018-10-11 00:00:00,SÁBADO
10,11,2018,16,538,732,1270,2018-11-10 15:00:00,2018-10-11 00:00:00,SÁBADO
10,11,2018,17,516,694,1210,2018-11-10 16:00:00,2018-10-11 00:00:00,SÁBADO
10,11,2018,18,594,787,1381,2018-11-10 17:00:00,2018-10-11 00:00:00,SÁBADO
10,11,2018,19,622,776,1398,2018-11-10 18:00:00,2018-10-11 00:00:00,SÁBADO
10,11,2018,20,673,775,1448,2018-11-10 19:00:00,2018-10-11 00:00:00,SÁBADO
10,11,2018,21,577,707,1284,2018-11-10 20:00:00,2018-10-11 00:00:00,SÁBADO
10,11,2018,22,587,658,1245,2018-11-10 21:00:00,2018-10-11 00:00:00,SÁBADO
10,11,2018,23,516,601,1117,2018-11-10 22:00:00,2018-10-11 00:00:00,SÁBADO
10,11,2018,24,373,479,852,2018-11-10 23:00:00,2018-10-11 00:00:00,SÁBADO
11,11,2018,1,344,463,807,2018-11-11 00:00:00,2018-11-11 00:00:00,DOMINGO
11,11,2018,2,237,407,644,2018-11-11 01:00:00,2018-11-11 00:00:00,DOMINGO
11,11,2018,3,238,353,591,2018-11-11 02:00:00,2018-11-11 00:00:00,DOMINGO
11,11,2018,4,164,346,510,2018-11-11 03:00:00,2018-11-11 00:00:00,DOMINGO
11,11,2018,5,151,243,394,2018-11-11 04:00:00,2018-11-11 00:00:00,DOMINGO
11,11,2018,6,126,273,399,2018-11-11 05:00:00,2018-11-11 00:00:00,DOMINGO
11,11,2018,7,196,241,437,2018-11-11 06:00:00,2018-11-11 00:00:00,DOMINGO
11,11,2018,8,185,240,425,2018-11-11 07:00:00,2018-11-11 00:00:00,DOMINGO
11,11,2018,9,221,270,491,2018-11-11 08:00:00,2018-11-11 00:00:00,DOMINGO
11,11,2018,10,292,385,677,2018-11-11 09:00:00,2018-11-11 00:00:00,DOMINGO
11,11,2018,11,401,497,898,2018-11-11 10:00:00,2018-11-11 00:00:00,DOMINGO
11,11,2018,12,471,570,1041,2018-11-11 11:00:00,2018-11-11 00:00:00,DOMINGO
11,11,2018,13,557,604,1161,2018-11-11 12:00:00,2018-11-11 00:00:00,DOMINGO
11,11,2018,14,570,675,1245,2018-11-11 13:00:00,2018-11-11 00:00:00,DOMINGO
11,11,2018,15,528,782,1310,2018-11-11 14:00:00,2018-11-11 00:00:00,DOMINGO
11,11,2018,16,471,681,1152,2018-11-11 15:00:00,2018-11-11 00:00:00,DOMINGO
11,11,2018,17,493,665,1158,2018-11-11 16:00:00,2018-11-11 00:00:00,DOMINGO
11,11,2018,18,495,702,1197,2018-11-11 17:00:00,2018-11-11 00:00:00,DOMINGO
11,11,2018,19,604,633,1237,2018-11-11 18:00:00,2018-11-11 00:00:00,DOMINGO
11,11,2018,20,553,533,1086,2018-11-11 19:00:00,2018-11-11 00:00:00,DOMINGO
11,11,2018,21,488,613,1101,2018-11-11 20:00:00,2018-11-11 00:00:00,DOMINGO
11,11,2018,22,478,591,1069,2018-11-11 21:00:00,2018-11-11 00:00:00,DOMINGO
11,11,2018,23,376,451,827,2018-11-11 22:00:00,2018-11-11 00:00:00,DOMINGO
11,11,2018,24,240,381,621,2018-11-11 23:00:00,2018-11-11 00:00:00,DOMINGO
12,11,2018,1,171,238,409,2018-11-12 00:00:00,2018-12-11 00:00:00,LABORABLE
12,11,2018,2,108,202,310,2018-11-12 01:00:00,2018-12-11 00:00:00,LABORABLE
12,11,2018,3,76,157,233,2018-11-12 02:00:00,2018-12-11 00:00:00,LABORABLE
12,11,2018,4,66,102,168,2018-11-12 03:00:00,2018-12-11 00:00:00,LABORABLE
12,11,2018,5,75,108,183,2018-11-12 04:00:00,2018-12-11 00:00:00,LABORABLE
12,11,2018,6,143,172,315,2018-11-12 05:00:00,2018-12-11 00:00:00,LABORABLE
12,11,2018,7,427,449,876,2018-11-12 06:00:00,2018-12-11 00:00:00,LABORABLE
12,11,2018,8,656,692,1348,2018-11-12 07:00:00,2018-12-11 00:00:00,LABORABLE
12,11,2018,9,674,661,1335,2018-11-12 08:00:00,2018-12-11 00:00:00,LABORABLE
12,11,2018,10,641,741,1382,2018-11-12 09:00:00,2018-12-11 00:00:00,LABORABLE
12,11,2018,11,548,642,1190,2018-11-12 10:00:00,2018-12-11 00:00:00,LABORABLE
12,11,2018,12,514,600,1114,2018-11-12 11:00:00,2018-12-11 00:00:00,LABORABLE
12,11,2018,13,606,701,1307,2018-11-12 12:00:00,2018-12-11 00:00:00,LABORABLE
12,11,2018,14,601,728,1329,2018-11-12 13:00:00,2018-12-11 00:00:00,LABORABLE
12,11,2018,15,713,721,1434,2018-11-12 14:00:00,2018-12-11 00:00:00,LABORABLE
12,11,2018,16,634,686,1320,2018-11-12 15:00:00,2018-12-11 00:00:00,LABORABLE
12,11,2018,17,675,774,1449,2018-11-12 16:00:00,2018-12-11 00:00:00,LABORABLE
12,11,2018,18,679,799,1478,2018-11-12 17:00:00,2018-12-11 00:00:00,LABORABLE
12,11,2018,19,737,786,1523,2018-11-12 18:00:00,2018-12-11 00:00:00,LABORABLE
12,11,2018,20,671,752,1423,2018-11-12 19:00:00,2018-12-11 00:00:00,LABORABLE
12,11,2018,21,664,760,1424,2018-11-12 20:00:00,2018-12-11 00:00:00,LABORABLE
12,11,2018,22,457,589,1046,2018-11-12 21:00:00,2018-12-11 00:00:00,LABORABLE
12,11,2018,23,378,426,804,2018-11-12 22:00:00,2018-12-11 00:00:00,LABORABLE
12,11,2018,24,210,327,537,2018-11-12 23:00:00,2018-12-11 00:00:00,LABORABLE
